Keyword,EngFren_Bed 1,EngFren_Bed 2,EngFren_Bed 3,EngFren_Bed 4,EngFren_Bed 5,EngFren_Bed 6,EngFren_Bed 7,EngFren_Bed 8,EngFren_Bed 9,EngFren_Bed 10,EngFren_Bed 11,EngFren_Bed 12,EngFren_Bed 13,EngFren_Bed 14,EngFren_Bed 15,EngFren_Bed 16,EngFren_Bed 17,EngFren_Bed 18,EngFren_Bed 19,EngFren_Bed 20,EngFren_Bed 21,EngFren_Bed 22,EngFren_Bed 23,EngFren_Bed 24,EngFren_Bed 25,EngFren_Bed 26,EngFren_Bed 27,EngFren_Bed 28,EngFren_Bed 29,EngFren_Bed 30
how unfortunate,interjection [o]: quel dommage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoyden,girl [n]: garçon [m] manqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hubbub,bedlam [n]: charivari [m]; tohu-bohu [m]; tapage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hubby,general [n]: moitié [f (informal)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hubcap,vehicles [n]: enjoliveur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huckleberry,botany - fruit [n]: airelle [f]; myrtille [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huckster,trade - man [n]: colporteur [m]; marchand [m] ambulant; camelot [m]; démarcheur [m],trade - woman [n]: colporteuse [f]; marchande [f] ambulante; marchande [f] des quatre saisons; démarcheuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
huddle,quantity [n]: tas [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huge,size [a]: énorme; grand; gros; colossal; gigantesque; immense; titanesque; monumental; géant; vaste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hugely,general [o]: énormément,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hugeness,size [n]: énormité [f]; immensité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hugging,general [a]: embrassant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hug tightly,love [v]: étreindre; serrer étroitement dans ses bras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hulking,person [a]: lourdaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hum,bee [n]: bourdonnement [m],voices [n]: bourdonnement [m]; brouhaha [m],sound [n]: bourdonnement [m],song [v]: fredonner; chantonner,sound [v]: bourdonner,,,,,,,,,,,,,,,,,,,,,,,,,
human,general [a]: humain,person [n]: être [m] humain; humain [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
human being,person [n]: être [m] humain; humain [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
human biology,science [n]: biologie [f] humaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humane,person [a]: humain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanism,ideology [n]: humanisme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanist,ideology - man [n]: humaniste [m],ideology - woman [n]: humaniste [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanistic,ideology [a]: humaniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanitarian,ideology [a]: humanitaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanitarianism,ideology [n]: humanitarisme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanity,people [n]: humanité [f]; genre humain [m],behavior [n]: humanité [f]; bonté [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanize,general [v]: humaniser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humankind,people [n]: humanité [f]; genre humain [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanly disgraceful,treatment [a]: avilissant; honteux; scandaleux; infâme; déshonorant; ignominieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
human race,people [n]: race [f] humaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
human rights,politics [n]: droits [mp] de l'homme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humble,character [a]: humble; modeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humblebee,entomology [n]: bourdon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humbly,behavior [o]: humblement; modestement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humdrum,importance [a]: banal,monotonous [a]: monotone; banal; routinier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooded,clothing [a]: encapuchonné; avec capuchon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoodlum,person - man [n]: voyou [m]; vaurien [m]; dévoyé [m]; gouape [m (slang)]; frappe [m (slang)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoodoo,person [n]: personne [f] qui porte malheur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoodwink,cheating [v]: tromper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooey,general [n]: baliverne [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoof,anatomy - zoology [n]: sabot [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hull,nautical [n]: coque [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hullabaloo,bedlam [n]: charivari [m]; tohu-bohu [m]; tapage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hulled oats,culinary [n]: gruau [m] d'avoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hullo,greeting [o]: ohé [interj.]; holà [interj.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hook,device [n]: crochet [m],crook [n]: courbe [f]; crochet [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hookah,general [n]: narguilé [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooked nose,nose [n]: nez [m] crochu; nez [m] busqué; nez [m] aquilin; nez [m] en bec d'aigle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hook nose,nose [n]: nez [m] crochu; nez [m] busqué; nez [m] aquilin; nez [m] en bec d'aigle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooknosed,nose [a]: au nez crochu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hookup,technical [n]: liaison [f]; postes [mp] conjugués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hook up,technical [v]: connecter; relier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hookworm,entomology [n]: ankylostome [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooligan,person - man [n]: vandale [m]; hooligan [m]; houligan [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooliganism,crime [n]: vandalisme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoop,entertainment [n]: cerceau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoopla,advertising [n]: grosse réclame [f]; battage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoopskirt,clothing [n]: robe [f] à paniers; crinoline [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoop skirt,clothing [n]: robe [f] à paniers; crinoline [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hop,agriculture [n]: houblon [m],general [v]: sautiller,birds [v]: sautiller,movement [v]: sauter à cloche-pied,,,,,,,,,,,,,,,,,,,,,,,,,,
hope,general [n]: espoir [m]; espérance [f],general [v]: espérer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hope for,expectation [v]: espérer; compter sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopeful,circumstances [a]: qui promet,feelings [a]: plein d'espoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopefully,general [o]: en espérant que,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopeless,situation [a]: désespéré,feelings [a]: sans espoir; désespéré,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopelessly,general [o]: désespérément; éperdument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopelessness,situation [n]: situation [f] décourageante; état [m] désespéré,feelings [n]: désespoir [m]; désespérance [f]; abattement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopping mad,behavior [a]: fou furieux; furibard [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopscotch,games [n]: marelle [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horde,general [n]: horde [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon,general [n]: horizon [m]; ligne [f] d'horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizontal,position [a]: horizontal,mathematics [a]: horizontal,mathematics [n]: horizontale [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
horizontal bar,sports - gymnastics [n]: barre [f] fixe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hormone,medicine [n]: hormone [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn,material [a]: en corne,anatomy - zoology [n]: corne [f],music - instruments [n]: cor [m],material [n]: corne [f],automobiles [n]: klaxon [m]; avertisseur [m],,,,,,,,,,,,,,,,,,,,,,,,,
hornbeam,botany - tree [n]: hêtre [m] blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hornet,entomology [n]: frelon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hornet's nest,general [n]: guêpier [m]; nid [m] de guêpes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn of plenty,general [n]: corne [f] d'abondance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hornpipe,music - instruments [n]: matelote [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn-rimmed,glasses [a]: à grosse monture; d'écaille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horny,skin [a]: calleux,sexual behavior [a]: sexuellement excité; aguiché; en rut [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,
horoscope,astrology [n]: horoscope [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horrendous,general [a]: horrible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horrible,appearance [a]: horrible; effrayant; redoutable,feelings [a]: horrible; affreux; atroce; épouvantable,monstrous [a]: monstrueux; horrible,,,,,,,,,,,,,,,,,,,,,,,,,,,
horrid,appearance [a]: horrible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horrific,feelings [a]: horrifique [literature]; horrible; choquant; révoltant; horrifiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horrified,feelings [a]: horrifié; choqué; scandalisé; bouleversé; atterré; stupéfait; pantois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horrify,emotional sensation [v]: horrifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horrifying,feelings [a]: horrifique [literature]; horrible; choquant; révoltant; horrifiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horror,feelings [n]: horreur [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horror film,movie theater [n]: film [m] d'horreur; film [m] d'épouvante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horror-stricken,general [a]: glacé d'horreur; frappé d'horreur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horror-struck,general [a]: glacé d'horreur; frappé d'horreur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hors d'oeuvre,culinary [n]: amuse-gueule [m (informal)]; hors-d'œuvre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse,sports - gymnastics [n]: cheval [m] d'arçons,zoology [n]: cheval [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse around,general [v]: s'ébattre; gambader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsebean,horticulture - vegetables [n]: fève [f]; féverole [f]; faverole [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse bean,horticulture - vegetables [n]: fève [f]; féverole [f]; faverole [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse chestnut,botany - fruit [n]: marron [m] d'Inde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse-drawn,carriage [a]: tiré par des chevaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsefly,entomology [n]: taon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse fly,entomology [n]: taon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsehair,horse [n]: crin [m]; tissu [m] de crin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horseman,equitation - man [n]: cavalier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsemanship,skill [n]: équitation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsemeat,culinary [n]: viande [f] de cheval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horseplay,general [n]: jeu [m] brutal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsepower,measures - weights [n]: cheval-vapeur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse race,sports - horse racing [n]: courses [fp] de chevaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse racing,sports - horse racing [n]: courses [fp] de chevaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horseradish,botany - culinary [n]: raifort [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse riding,sports [n]: équitation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horseshoe,general [n]: fer [m] à cheval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsewhip,punishment [v]: fouetter; fustiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horsewoman,equitation - woman [n]: cavalière [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horticulture,activity [n]: horticulture [f],science [n]: horticulture [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
horticulturist,horticulture - man [n]: horticulteur [m],horticulture - woman [n]: horticultrice [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hue,color [n]: teinte [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hueless,paint [a]: sans éclat; terne; mat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huffish,behavior [a]: susceptible; irritable; ombrageux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huffy,behavior [a]: susceptible; irritable; ombrageux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hug,action [n]: étreinte [f],person [v]: étreindre; serrer; embrasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herself,reflexive pronoun [o]: se; s',reflexive pron. - stressed [o]: elle-même,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Her Serene Highness,term of address - woman [o]: son Altesse sérénissime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hertz,electricity [n]: hertz [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herzegovina,geography [n]: Herzégovine [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesitancy,general [n]: hésitation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesitant,doubt [a]: incertain; hésitant; irrésolu; indécis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesitate,falter [v]: hésiter; tergiverser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesitating,doubt [a]: incertain; hésitant; irrésolu; indécis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesitation,doubt [n]: hésitation [f]; doute [m]; incertitude [f]; perplexité [f]; équivoque [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hessian,textiles [n]: toile [f] de jute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heterodox,religion [a]: hétérodoxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heterogeneous,general [a]: hétérogène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heterosexual,general [a]: hétérosexuel,sexual behavior [a]: hétérosexuel,sexual behavior - man [n]: hétérosexuel [m],sexual behavior - woman [n]: hétérosexuelle [f],,,,,,,,,,,,,,,,,,,,,,,,,,
heterosexuality,sexual behavior [n]: hétérosexualité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heuristic,general [a]: heuristique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heuristics,general [n]: heuristique [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hew,stone [v]: tailler,wood [v]: couper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hewer,wood - man [n]: tailleur [m],wood - woman [n]: fendeur [m],person - woman [n]: équarrisseur [m]; coupeur [m]; tailleur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
he who,indicative pronoun - man [o]: celui qui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hex,magic [v]: enchanter; ensorceler; jeter un sort sur; envoûter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hexagon,geometry [n]: hexagone [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hexagonal,geometry [a]: hexagonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hexameter,prosody [n]: hexamètre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hexed,damned [a]: damné; maudit; satané; ensorcelé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hither,direction [o]: ici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitherto,thus far [o]: jusqu'ici; jusqu'à présent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit home,general [v]: frapper au but; donner dans le mille; faire mouche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit it off,friendship [v]: bien s'entendre; s'accorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit off,general [v]: imiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit-or-miss,action [o]: fait au petit bonheur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit or miss,action [o]: fait au petit bonheur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit out against,disapproval [v]: attaquer; fustiger [formal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit out at,disapproval [v]: attaquer; fustiger [formal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit parade,music [n]: hit-parade [m]; palmarès [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit the sack,sleep [v]: se pieuter [informal]; aller au plumard [informal]; se coucher; se mettre au lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit the sweet spot,general [v]: frapper au but; donner dans le mille; faire mouche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hive,apiculture [n]: ruche [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hives,medicine [n]: urticaire [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoagie,food [n]: grand sandwich [m] mixte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoagy,food [n]: grand sandwich [m] mixte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoard,supply [v]: thésauriser; amasser; accumuler; mettre en réserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoarfrost,meteorology [n]: gelée [f] blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hey,interjection [o]: hé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heyday,general [n]: apogée [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi,greeting [o]: hé [interj.]; ohé [interj.] [interj.]; salut; hello; bonjour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiatus,lack [n]: vide [m]; lacune [f]; manque [m]; hiatus [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hibernate,zoology [v]: hiberner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hibernation,zoology [n]: hibernation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hibiscus,botany [n]: ketmie [f]; hibiscus [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiccough,medicine [n]: hoquet [m],medicine [v]: avoir le hoquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiccup,medicine [n]: hoquet [m],medicine [v]: avoir le hoquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hickory,wood [n]: hickory [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hidden,facts [a]: caché; masqué; dissimulé,activity [a]: clandestin; secret; subreptice,person [a]: caché,covert [a]: camouflé; caché; déguisé,,,,,,,,,,,,,,,,,,,,,,,,,,
hide,material [n]: peau [f],general [v]: se cacher; se tapir,view [v]: masquer; cacher,objects [v]: cacher; dissimuler; masquer; voiler; receler,,,,,,,,,,,,,,,,,,,,,,,,,,
hide-and-seek,games [n]: cache-cache [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hideaway,seclusion [n]: cachette [f]; planque [f (informal)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hidebound,character [a]: aux vues étroites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hide oneself,intransitive [v]: se cacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hideous,repugnant [a]: hideux; répugnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hideousness,appearance [n]: hideur [f]; aspect [m] hideux; extrême laideur [f]; laideur [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiding,objects [n]: acte [m] de cacher,concealment [n]: recel [m]; dissimulation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchic,general [a]: hiérarchique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-jacking,crime [n]: piraterie [f] de l'air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high jinks,entertainment [n]: amusement [m] débridé; bon temps [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high jump,sports [n]: saut [m] en hauteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high jumping,sports [n]: saut [m] en hauteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highland,geology [n]: pays [m] montagneux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoarseness,voice [n]: enrouement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoarse sound,general [n]: croassement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoary,hair [a]: blanchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoax,deception [v]: tromper; abuser; duper; enjôler; se jouer de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoaxing,action [a]: enjôleur; trompeur; dupeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hobble,general [v]: boitiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hobby,entertainment [n]: hobby [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hobbyhorse,toy [n]: cheval [m] à bascule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hobby room,house [n]: atelier [m] de bricolage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hobgoblin,fairy tale [n]: lutin [m]; farfadet [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hobnail,technical [n]: clou [m] à souliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hobo,man [n]: clochard [m]; vagabond [m]; chemineau [m],woman [n]: clocharde [f]; vagabonde [f]; chemineau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
homograph,linguistics [n]: homographe [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homologation,diploma [n]: homologation [f]; validation [f]; entérinement [m]; sanction [f] officielle,sports [n]: homologation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
homonym,linguistics [n]: homonyme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,anthropology [n]: homo sapiens [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homosexual,sexual behavior [a]: homosexuel,sexual behavior - man [n]: homosexuel [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
household waste,general [n]: ordures [fp] ménagères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housekeeper,profession - man [n]: domestique [m]; employé [m] de maison,profession - woman [n]: bonne [f]; femme [f] de charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housekeeping,general [n]: ménage [m],money [n]: argent [m] du ménage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housekeeping money,money [n]: argent [m] du ménage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housemaid,profession - woman [n]: femme [f] de chambre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house number,house [n]: numéro [m] de la maison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Commons,politics - Great Britain [n]: Chambre [f] des communes; Communes [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Lords,politics - Great Britain [n]: Chambre [f] des lords; Chambre [f] haute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Representatives,politics - USA [n]: Chambre [f] des représentants,politics - general [n]: Assemblée [f] nationale,government [n]: Chambre [f] des représentants; Parlement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
house painter,painting - man [n]: peintre [m]; peintre [m] en bâtiment,painting - woman [n]: femme peintre [f] en bâtiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house search,police [n]: perquisition [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house-to-house,sales [a]: porte à porte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housewarming,party [n]: pendaison [f] de crémaillère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housewife,general [n]: ménagère [f]; femme [f] au foyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housework,general [n]: travaux [mp] de ménage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housing,house [n]: habitation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housing development,architecture [n]: lotissement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housing problem,general [n]: manque [m] de logements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housing project,architecture [n]: cité [f]; programme [m] de construction de logements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housing shortage,general [n]: manque [m] de logements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hovel,building [n]: taudis [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hover,birds [v]: voler sur place; voltiger au-dessus de; planer au-dessus de,aviation [v]: planer de façon stationnaire,person [v]: rôder autour; traîner autour; errer,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurriedly,haste [o]: en toute hâte; hâtivement; précipitamment; à toute vitesse; en quatrième vitesse [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurry,haste [v]: se dépêcher; se presser,person [v]: se hâter; se dépêcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurry-scurry,general [a]: agité,haste [o]: à la débandade; à la six-quatre-deux [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurt,emotional condition [a]: peiné; froissé; blessé; offensé; désobligé,feelings [a]: chagriné; blessé; affligé; froissé; offensé,transitive [v]: faire mal à; faire du mal à,physical sensation [v]: faire mal,mind [v]: blesser; heurter,,,,,,,,,,,,,,,,,,,,,,,,,
hypothetical,possibility [a]: hypothétique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothetically,possibility [o]: hypothétiquement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hysterectomy,medicine [n]: hystérectomie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hysteria,excitement [n]: hystérie [f],psychiatry [n]: hystérie [f],behavior [n]: hystérie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hirsute,hair [a]: hirsute; velu; poilu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
